name_of_project,country,partner,grant,description
Supporting Equal Access to Education,Egypt 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,30000,"To promote equality and diversity within the Egyptian education system. The project will advocate improved laws and regulations to improve access and quality of education for all students. A campaign will include strategic litigation, a report and public events to raise awareness on recommended legislative reforms, and meetings with decision-makers to discuss possible solutions."
Supporting Freedom of Association,Egypt 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Association,18000,"To promote freedom of association. The project will hold an extensive training program for independent associations on their legal rights, strategic planning, financial management, and sustainability and fundraising. The project will also produce a series of publications to educate association leadership about important issues related to civic activism and freedom of association."
Supporting Womenâ€™s Participation in Local Governance,Egypt 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,25000,To strengthen womenâ€™s political leadership and participation in local governance. The project will provide technical and legal guidance to local women leaders through two trainings and one-on-one consultations. The project will also highlight the successes and obstacles to womenâ€™s leadership in local governance through monthly reports and social media.
Anti-Kleptocracy Media Project,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,250000,"To more broadly inform Iranâ€™s population, especially its young civically active demographic about the need for anti-corruption reforms. The project will assess the types of corruption most concerning to citizens of Iran through an opinion poll. The poll will help support ongoing and newly initiated awareness campaigns conducted by Iranian civic activists."
Deepening Political Process Monitoring Skills for Increased Public Accountability,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,240000,"To improve local cultures of accountability and civic engagement in Iran. The project will build the capacity of Iranian citizens to conduct community-level political process monitoring through a focused training program, including conducting workshops on monitoring and training skills, delivering Farsi-language materials and developing new resources, and mentoring participants."
Fact-Checking Public Information,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,56000,"To promote issue-based socioeconomic discourse and to enhance accountability, transparency, and participation as core values within Iranian society. The grantee will fact-check data released by the Iranian government and publish a series of briefs analyzing the accuracy of public statements and publications. The grantee will also produce thematic reports summarizing its fact-checking analyses on timely topics related to good governance."
Human Rights Monitoring and Documentation,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,45000,"To raise awareness about human rights and strengthen the capacity of human rights defenders. The organization will monitor, document and report on human rights violations. The grantee will work closely with human rights defenders to build their reporting and advocacy skills, and will share its monitoring findings with the United Nations and international human rights organizations."
Iran Human Rights Memorial Project,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Abdorrahman Boroumand Center for Human Rights in Iran,80000,"To promote human rights and democracy education and discourse. The organization will monitor and document human rights violations, publically disseminate its findings, and advocate for Iranâ€™s accountability to its international treaty obligations as well as for victims of human rights violations. The grantee will also expand its human rights database and online documentation initiatives."
Monitoring Human Rights Violations,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,103500,"To raise awareness about, monitor and document human rights violations and to enhance communication and information access for human rights activists. The organization will publish and distribute reports on human rights violations and compile related data. It will also provide technical assistance in the fields of communication and online security."
Promoting Government Accountability and Responsiveness,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,52500,"To promote government accountability and responsiveness. The grantee will support its network of local civic groups in monitoring and documenting elected officialsâ€™ fulfillment of campaign promises. In addition, the network will identify constituent priorities through surveys and interviews, and lead advocacy efforts through outreach to public officials and media. The grantee will also monitor, fact-check and counter disinformation."
Promoting Legal Debate,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Rule of Law,45000,"To raise awareness through debates among Iranian lawyers and civil society actors about the rule of law and fundamental rights and to strengthen a network of democratic jurists and human rights defenders in Iran. The project will produce Farsi-language content to serve as a resource for Iranian lawyers, law students, and clerics."
Strengthening Environmental Accountability,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,64000,"To promote environmental accountability and transparency. The organization will raise awareness of environmental challenges in Iran and offer policy and scientific solutions to address them. The project will strengthen civil societyâ€™s ability to understand the root causes of Iranâ€™s environmental issues, and will advocate for greater environmental accountability and transparency."
Strengthening Independent Journalism,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,50000,"To strengthen independent professional journalism and promote networking among media professionals. The organization will maintain and further develop an online resource center for journalists and media professionals in Iran. Through a Farsi-language website, the grantee will also publish news and updates relevant to local journalists, and will monitor and document violations against journalists."
The Womenâ€™s Rights Wave Project,Iran 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,400000,To network nascent and established elements of the Iranian womenâ€™s rights community to advocate mutually held policy reforms during the lead up to parliamentary elections. Project activities will include providing support to civil society actors working on womenâ€™s rights to assemble a report regarding promising advocacy tactics and networking mechanisms.
Accountability in the Kurdistan Region of Iraq,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,STOP Organization for Monitoring and Development,25000,"To promote accountability and rule of law in the Kurdistan Region of Iraq. The grantee will produce biannual reports that assess government officialsâ€™ follow through on campaign promises to combat corruption, form a corruption monitoring team to advocate for the resolution of four identified cases, and produce a final report on its findings and progress."
Activating the Leadership Role of Young Iraqi Women,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Womenâ€™s Academy for Leadership in Iraq,40000,"To strengthen young womenâ€™s participation and leadership in civic and political life. The grantee will connect a new generation of Iraqi women activists to create a nationwide network that will advocate for womenâ€™s political rights. The grantee will lead training workshops in three provinces, assist trainees in leading initiatives, and host a final conference."
Addressing Obstacles to Womenâ€™s Leadership,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,DABIN Organization for Democratic Development and Human Rights,20000,"To support and strengthen womenâ€™s participation and representation in public life in the Kurdistan Region of Iraq (KRI). Building on survey results that identify challenges facing women public figures in the region, the grantee will hold roundtables to identify recommendations and work with government and political party leaders to advocate for their implementation. The grantee will produce and present an annual report summarizing the outcomes of these proceedings to parliamentarians and government officials."
Advocacy for the Freedom of the Press,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,30000,To reinforce legal protection of freedom of the press and expression. The organization will launch a campaign to advocate for amendments to the Publication Penalty Law and the newly proposed Cybercrimes Law. The organization will also work to raise awareness among the public and social media influencers on the need to change these laws. The organization will monitor and document violations against journalists and produce an annual report detailing them.
Advocating for Budget Transparency,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,37000,To strengthen governance and civil society oversight of public financial resources. The organization will engage civil society organizations in southern Iraq and organize dialogue sessions to advocate for greater transparency in public finances at the local and federal levels. The organization will publish a guidebook on enhancing budgetary transparency based on existing Iraqi laws and will organize advocacy meetings with government officials to call for the implementation those laws.
Building Civic Life,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,25000,"To strengthen youth leadership and re-engagement in public affairs. The grantee will train emerging civic activists in the province and prepare them to lead local civic initiatives. The project will select, mentor and support ten advocacy campaigns or community initiatives led by beneficiaries to respond to local priorities."
Building Provincial Council Legitimacy,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),700000,"To support Iraqi provincial councilsâ€™ use of participatory governance mechanisms to bolster citizen engagement and perceived legitimacy. The institute will conduct research on perceptions of governance particularly amongst marginalized communities to inform provincial council operations and to aid the design of future programmatic interventions in the provinces of focus. Additionally, the Institute will work closely with provincial councilors to ensure that they maintain a comprehensive understanding of their legal roles and responsibilities with particular attention to provincial budgeting and public revenue management."
Citizen Engagement through Alternative Media,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,40000,"To promote and encourage civic participation through alternative media and the arts. TheÂ organization will lead citizen advocacy and awareness-raising initiatives using alternative media tools including documentaries, short video programs, and cultural exhibitions. The organization will make its in-house studio accessible to other civil society organizations (CSOs) and community activists for media production, and rebuild its online observatory highlighting the work of CSOs across the country."
Civic Monitoring of Parliamentary Performance,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,60000,"To enhance the transparency and accountability of the Iraqi Council of Representatives (CoR). The organization will continue monitoring the incoming CoR and its 22 committees. It will prepare monthly and quarterly reports, organize press conferences to publicize its findings, and compile and publish a cumulative annual monitoring report."
Combating Corruption,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,30000,"To expose and combat corruption. The organization will form and train a monitoring team composed of local journalists who will investigate and document local corruption cases, particularly administrative corruption that effects access to public services. The grantee will publish its findings in a print and online newsletter and will hold regular meetings with local authorities to present and advocate action on reported cases."
Combatting Discrimination against Women in Media,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,35000,To protect and promote womenâ€™s rights by educating media professionals on fair coverage of womenâ€™s issues in the media. The organization will hold workshops for leading media figures and civil society activists on documenting and analyzing coverage of womenâ€™s rights. The organization will conduct a survey on the issue and use its results to engage heads of media establishments in advocacy meetings to urge them to have less discriminatory coverage of women in their programs.
Community Radio and Human Rights Journalism,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Radio Deng,35000,"To strengthen independent media reporting through community radio in Sulaimaniyah. The grantee will continue to develop its Human Rights Journalism Unit, publish its womenâ€™s issues newspaper and monthly reports on local government performance, broaden public outreach through its website, and conduct a human rights reporting competition."
Empowering Women for Political Party Leadership,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Strengthening Political Institutions,35000,To advance womenâ€™s political party engagement and develop local women party activistsâ€™ leadership skills. The program will train women from political parties and women candidates for upcoming provincial elections. The trainings will enable the women party activists to seek stronger representation within their parties including in leadership positions.
Engaging Young Women as Community Advocates,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,33000,"To mobilize young women to advocate for community needs and priorities. The organization will continue to mentor young participants in its Youth Women Forum (YWF), which consists of past volunteers, and expand its outreach to young women in two new districts. The organization will hold public forums on womenâ€™s rights and work with YWF members to hold dialogue sessions on public services in the province."
Engaging Civil Society in Electoral Reforms,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Success Organization for Developing Potential,25000,"To facilitate civil society engagement in the Kurdistan Region of Iraqâ€™s (KRI) electoral reform process. The organization will form a civil society coalition to monitor and contribute to electoral reform debates. Through meetings with policy makers, a conference, policy papers and media outreach, the grantee and its civil society partners will inform the general public and policy debates on electoral reform."
Enhancing Civil Societyâ€™s Role in Local Public Policy,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Democratic Ideas and Values,30000,"To strengthen civil societyâ€™s role in informing public policy. The grantee will form a task force comprised of local representatives from civil society, the Engineersâ€™ Syndicate, the Lawyersâ€™ Syndicate, the Health Care Professionals Syndicate, the Teachersâ€™ Syndicate, and the Chamber of Commerce. The task force will meet regularly and produce a policy report outlining priorities for improving local service delivery which it will present to the next provincial government."
Enhancing Local Governance,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Democratic Ideas and Values,40000,To strengthen civil societyâ€™s role in informing public policy. The organization will convene professional unions and civil society organizations to produce policy papers aimed at improving governance and public services. The organization will produce a booklet including the policy papers and convene meetings to call for the adoption of the bookletâ€™s recommendations.
Enhancing National Accountability Campaigns,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,140000,"To strengthen citizensâ€™ ability to monitor government performance and coordinate effective advocacy campaigns to improve governance. The organization will support local coordination committees in 14 provinces as they lead a national campaign to promote local accountability and responsive governance. The grantee will organize civic forums and advocacy coordination meetings, monitor public service delivery in the provinces, and produce policy papers."
Enhancing Youth Democratic Participation,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,20000,"To promote youth participation and to strengthen youth leadership and engagement in public life. The organization will train youth on leadership skills, advocacy campaigns, designing community initiatives, democratic culture, and social media skills. They will organize meetings with local government officials to convey the concerns of the youth to decision-makers."
Environmental Policy Advocacy,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,150000,"To strengthen civil society engagement in addressing environmental priorities and improving natural resource management through legislative and executive advocacy. The organization will conduct a survey, organize public seminars, publish policy papers, and meet with government officials to advocate its recommendations. In addition, the organization will convene civil society from across the country to discuss the status of democracy and the role of civil society in strengthening it."
Fostering Political Participation at Universities,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Eyeâ€™s University Organization,23000,"To strengthen university studentsâ€™ participation in public life within the Kurdistan Region of Iraq. The grantee will advocate for a new student elections law that would foster greater political pluralism on university campuses. The grantee will create a taskforce to lead an advocacy campaign comprised of discussion forums, an annual conference, and video production and dissemination."
Human Rights Monitoring in Sulaimaniyah,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Center for Human Rights,25000,"To protect human rights in public shelters and detention facilities in Sulaimaniyah city. The grantee will monitor, document, and report on human rights violations in police stations, adolescent detention facilities, the Juvenile Police Division, the Anti-Domestic Violence Division, and womenâ€™s shelters. The grantee will publish its findings in an annual report, follow-up with the Public Prosecution Office on documented cases, and organize advocacy meetings with relevant local and regional authorities."
"Improving Governance at the Federal, Provincial and Regional Levels",Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for International Private Enterprise (CIPE),482357,"To improve private sector engagement in public-private dialogue at the national and regional levels and improve transparency in the Kurdistan Region of Iraqâ€™s hydrocarbon sectors. The center will support private sector partners to advocate for public policy reforms at the national and regional levels. It will improve the leadership capacities of a cadre of reform-oriented public, private, and civic leaders to develop immediate solutions to Iraqâ€™s governance and economic problems. The center will offer an intensive course on economic policymaking, leadership and strategic communications."
Improving Governance through Civic Engagement in Sinjar,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,20000,"To promote civic engagement and improve governance in post-ISIS areas . The grantee will provide leadership-skills training and mentor local volunteer teams to monitor and document the quality of public service delivery in the district. The teams will publish their findings in reports, which they will present in meetings with local government officials to advocate for better governance."
Legislative Transparency and Public Engagement,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Pay Institute For Education & Development,40000,"To increase transparency and public engagement with the Regional Parliament in the Kurdistan Region of Iraq. The grantee will continue its parliamentary monitoring program, providing the public with basic information on the legislative calendar, attendance, plenary sessions, and committee work.Â The grantee will publish reports and distribute them to stakeholders in Parliament, government entities, NGOs, and the media."
Local Accountability in Sulaimaniyah,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Kurdistan for Everyone for Developing Democracy,80000,"To monitor and evaluate the performance and to strengthen the public engagement of elected local and national level officials in Sulaimaniyah. The grantee will monitor the performance of the provincial council, engage with national parliamentarians, publish an annual report, air radio talk shows, convene civic forums, and continue expanding its outreach through its website."
Measuring Indicators of Democracy,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Democratic Ideas and Values,35000,"To provide the public and policy-makers with indicators of the status of democracy in Iraq. The grantee will publish and disseminate an annual report that measures Iraqâ€™s democratic progress and the role of civil society in advancing good governance based on public opinion surveys and expert interviews. The grantee will release the report findings and conclusions at a conference attended by media, policy and decision-makers and civil society leaders."
Monitoring Government Institutions in Halabja,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Halwest Organization,22000,"To promote transparency and accountability of government institutions in the newly designated province of Halabja through citizen monitoring. The organization will monitor three government departments of Education, Health, and Municipality, which were part of Sulaimaniyah provinceâ€™s structure prior to the 2015 establishment of Halabja province, in addition to the new provincial government headquarters. The organization will conduct a survey, monitor government institutions, document citizen concerns, hold training workshops, organize radio programs, and produce a final monitoring report."
Monitoring Government Performance,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,55000,To promote governmental and legislative transparency and accountability. The organization will establish online platforms to monitor the activities and decisions of the Iraqi Parliament and cabinet. The organization will make its data accessible to the public and media. It will also host a conference on using technology to promote good governance and accountability.
Promoting Citizen-Driven Accountable Governance,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Aran for Developing Civic Culture,35000,"To promote citizen-driven accountable governance. The grantee will continue its campaign to advocate for less partisan interference in the local governments of Erbil, Sulaimaniyah, and Halabja. The grantee will conduct surveys, engage political parties, organize public forums, gather constituency signatures for petitions, and advocate for the activation of a political partiesâ€™ law that limits political interference in governance."
Promoting Judicial Independence,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Investigator Organization for the Rule of Law,25000,"To promote judicial independence in the Kurdistan Region of Iraq through research and engagement with judges, academics, and legal professionals. The organization will hold roundtable discussions and research, publish, and disseminate a comprehensive policy paper to identify the obstacles to judicial independence. It will also advocate for recommended reforms identified in its research and policy paper."
Promoting Local Government Accountability,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,30000,"To promote accountability of the provincial government. The organization will establish a Community Monitoring Team (CMT) and engage political parties on their programs as they compete for the 2020 provincial elections. The CMT will regularly meet with the provincial council to discuss its work, the organization will monitor the sessions of the newly-elected provincial council and publish reports about its performance and decisions as they relate to citizensâ€™ concerns and electoral promises."
Promoting Participatory Governance,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Accountability and Governance,30000,"To strengthen participatory governance and citizen engagement with local government to address community priorities. The organization will administer a survey, convene community meetings, facilitate citizen engagement with government officials, produce reports, and organize a conference to shed light on key community priorities that require the attention of the local government."
Promoting Political Pluralism and Citizen Participation,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Brave Youth Organization,25000,"To stimulate citizen participation and discourse on governing systems and minority representation in the Kurdistan Region of Iraq. The grantee will leverage its region-wide network of contacts with political parties to organize roundtable discussions, meetings, print and distribute its magazine, develop and publish research briefs, and organize a conference to present and advocate for recommendations that promote inclusive governance."
Promoting Rule of Law,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Rule of Law,26000,"To promote judicial transparency and reform. The organization will continue its court monitoring program and advocacy efforts for judiciary reform. Activities will include monitoring court proceedings, publishing an annual report, and engaging judicial and legislative authorities to advocate for action on judicial reform."
Promoting Youth Civic Engagement in Diyala,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,25000,"To promote youth volunteerism and strengthen youth leadership and engagement in public life. The organization will develop the leadership and advocacy skills of youth. The organization will form three teams to undertake advocacy activities on womenâ€™s empowerment, public policy, and volunteerism. It will also promote policy changes aimed at empowering youth and improving public services by conveying the perspectives and priorities of youth to local officials."
Protecting Womenâ€™s Rights,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Womenâ€™s Legal Assistance,35000,"To defend and protect womenâ€™s rights in the Kurdistan Region of Iraq. The grantee will monitor courts and other institutions dealing with cases of violence against women, publish an annual report, lead workshops at universities, and lead advocacy campaigns for the effective implementation of existing laws."
Strengthening Civil Societyâ€™s Role in Post-Conflict Rebuilding,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,75000,"To strengthen emerging youth volunteer groups and enable them to play a constructive role in reviving civic engagement. The organization will train and mentor youth as they lead community initiatives. The organization will hold training workshops, support the youth groups in carrying out the community initiatives, and act as a link between citizens and the local and national governments."
Strengthening Civil Societyâ€™s Role in Supporting Governance Reform,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Kurdish Institute for Elections (KIE),30000,"To enhance and strengthen the role of civil society in civic engagement and advocating for governance reform in the Kurdistan Region in Iraq (KRI). The grantee will advocate for decentralization in the KRI by publishing a policy paper, producing at least one draft law, writing and distributing a report on decentralization in political party platforms, and holding five seminars."
Strengthening Independent Media in Iraq,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,38000,"To strengthen independent media and prepare a new cadre of journalists. The organization will publish its online news website, which provides independent coverage of regional and international news and reports on policy issues, government accountability, and rule of law in Iraq. The organization will also train and mentor young and aspiring journalists on journalistic ethics, investigative journalism, reporting practices, social media journalism, and economic reporting."
Strengthening Minority Political Participation,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Political Processes,25000,To advocate for increased political participation of minorities in the national political process. The organization will convene workshops that include researchers and advocates from diverse communities to create a â€œprinciples documentâ€ on reform and means of enhanced minority political participation. The organization will hold a final conference with decision-makers to publicize its findings and will engage senior stakeholders to advocate for effective political representation of minorities.
Strengthening Womenâ€™s Political Participation in Wasit,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Democratic Ideas and Values,20000,To empower womenâ€™s leadership and strengthen their political participation in Wasit province. The grantee will organize capacity-building workshops for local women leaders on advocacy for womenâ€™s political participation. The grantee and its trainees will lead hearing sessions with local officials and stakeholders and hold a conference to present findings and recommendations for strengthening womenâ€™s political participation in the province.
Strengthening Womenâ€™s Rights and Leadership,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Human Rights,20000,"To promote womenâ€™s rights and empower women leaders. The organization will lead training workshops on monitoring, documentation, advocacy campaigns, lobbying, public mobilization, and international and Iraqi laws pertaining to womenâ€™s rights. The organization will also conduct advocacy campaigns and community forums on womenâ€™s rights, and present its findings and reform recommendations at a conference."
Strengthening Womenâ€™s Role in Legislative Advocacy,Iraq 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Civic Education,25000,"To strengthen womenâ€™s role in national legislative advocacy and empower a new generation of women civil society leaders. The organization will train women activists on legislative advocacy and civic leadership to lay the foundation for a sustained campaign to mobilize support for adoption of a law that would protect citizens, particularly women, from domestic abuse."
Enhancing Government Accountability,Jordan 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Community Media Network,49000,"To strengthen government responsiveness to citizen demands and priorities, particularly at the decentralized level. The grantee will lead a nationwide effort to identify the needs of local communities, determine whether these needs are prioritized by local authorities, and verify implementation of government promises. The organization will hold meetings to identify priority issues, conduct localized multi-faceted advocacy campaigns, and publish short reports on the results."
Media Monitor,Jordan 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,40000,To enhance the understanding and practice of media freedoms. The organization will monitor violations against media freedoms and report on them in monthly reports. It will complement this monitoring with in-depth investigative reports on media freedoms and enhance the awareness and skills of local journalists in navigating and reporting on the space for independent media.
Protecting Civic Space,Jordan 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Phenix Center for Economic and Informatics Studies,33500,"To protect civic space through advocacy and engagement with local civil society organizations (CSOs). In response to increasingly restrictive conditions for CSOs, the grantee will launch an advocacy campaign to protect space for CSOs, which will include publishing a policy paper, providing social media outreach, and conducting two national forums."
Strengthening the Capacity of Business Associations for Democratic Participation,Jordan 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for International Private Enterprise (CIPE),326640,"To build the capacity of independent business associations to serve their private sector constituencies through the pursuit of shared reform priorities. The organization will strengthen governance, management, and advocacy capabilities of voluntary membership business associations representing micro and small enterprises and businesswomen. The organization will support collective efforts by business associations to engage in public-private dialogue on priority policy issues and open new channels of participation in the democratic process."
Strengthening Youth Engagement in Public Life,Jordan 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Hikaya Center for Civil Society Development,40000,"To strengthen youth engagement in public life and promote enlightened views on Islam, pluralism, and civil rights. A local radio platform will produce at least 110 program episodes, broadcast for a minimum of 12 hours each day, and conduct a minimum of four trainings on media skills and youth civic engagement."
Building Business Association Capacity and Enhancing Public-Private Dialogue,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Center for International Private Enterprise (CIPE),347499,To build the capacity of industrial sector business associations as representative membership organizations and to encourage participatory public policymaking affecting the industrial sector. The center will work with a local partner to optimize its membership model and component relationships and will strengthen the voice of business through a well-rounded policy agenda.
Challenging Censorship,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,MARCH,40000,"To raise awareness of the censorship lawâ€™s implementation and advocate for revised legislation that supports freedom of expression. The grantee will expand and train its network of freedom of expression defenders and support them to lead civic initiatives, continue to advocate for the transfer of the Lebanese Bureau of Censorship to civilian jurisdiction, and strengthen its online anti-censorship campaign."
Energizing Civic Debate,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Shoâ€™oun Janoubia,80000,"To strengthen an independent forum for dialogue and to energize civic debate among all citizens of southern Lebanon. The organization will support a broad platform for civic dialogue, publish four magazine issues, maintain its daily news and analysis website, and facilitate seminars on political, educational, and societal matters in the region."
Engaging Local Communities to Promote Better Access to Information,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Lebanese Transparency Association â€“ No Corruption,38000,"To monitor and support implementation of the access to information law. The organization will conduct workshops to train community activists on the law and its provisions to request and obtain information specific to municipal budgeting and development projects. Trainees then will directly monitor implementation in 72 municipalities and the organization will use these findings to produce infographics, lead a seminar, and publish a report."
Promoting Issue-Based Politics,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,International Republican Institute (IRI),600000,"To promote issue-based political discourse in Lebanon. The institute will amplify alternative voices in civil society, using public opinion polling and data-driven trainings to help them develop effective strategies to advocate to political leaders and to educate and mobilize citizens on top policy priorities. It will then support these partners as they conduct their advocacy campaigns."
Protecting Public Space for All,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,NAHNOO Association,30000,"To hold government officials accountable through engaging youth in advocacy campaigns for open access and the protection of public spaces. The grantee will work with its community action team members to organize public events to raise awareness on the threatened status of Ramlet al Bayda Beach, Horsh Beirut Park, and Tyre Garden; train youth activists to lead civic initiatives; and hold regular meetings with key stakeholders and decision-makers."
Youth Leaders for Tomorrow,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Nokta Fasle,29000,To strengthen youth leadership capabilities among their local communities in southern Lebanon. The organization will continue to work with a cadre of youth activists and strengthen the depth of youth engagement at its six clubs in southern Lebanon. The grantee and its youth club union will reach out to its youth community and broadly announce workshops at its clubs who will then help lead an advocacy campaign on education curriculum reform in addition to launching small initiatives targeting local community needs.
Youth-Led Policy Engagement and Accountability,Lebanon 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Democratic Institute for International Affairs (NDI),225000,"To increase the participation of Lebanese youth in policy discourse. The institute will conduct policy debate trainings and facilitate debate competitions in various regions. To increase youth engagement with elected officials, the institute will create youth parliamentary delegations in three electoral districts to give university students the opportunity to work with members of parliament and monitor their progress on priority issues."
"Combating Fake News, Hate Speech, and Incitement",Libya 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Freedom of Information,26000,"To combat fake news, hate speech, incitement, and disinformation in Libyan digital media. The organization will conduct an awareness and education campaign to highlight the negative impact of Libyaâ€™s current media environment on exacerbating and prolonging violence and conflict, launch a digital media research platform, publish data about incitement and hate speech, and promote information about professional journalistic standards for media consumers and producers in Libya."
Developing Community Youth Leadership,Libya 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,Moomken Organization for Awareness and Media,22000,To promote a community of peacebuilding practice and community dialogue to respond to localized conflicts in Libya. The organization will build the capacity of a cadre of youth through a two-week intensive course on peacebuilding and conflict management and assist to develop community-focused mechanisms for conflict prevention and community mediation.
Empowering Local Civil Society,Libya 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,National Caucus of Fezzan,25000,"To enhance civic engagement of marginalized communities in Libyaâ€™s Fezzan region. The organization will engage and build the capacity of local civil society organizations focusing on promoting priority issues of marginalized groups including youth, women, and people with disabilities through a series of trainings and local civic initiatives."
Promoting Human Rights,Libya 2019 - NATIONAL ENDOWMENT FOR DEMOCRACY,WHY ME? Association for Womenâ€™s Rights,25000,"To enhance the capacity of young Libyan journalists to report on human rights issues, especially pertaining to womenâ€™s rights. The organization will train young journalists and civic activists in objective reporting of human rights issues, with a special focus on gender issues and womenâ€™s rights. It will also work with program participants to produce a series of online media pieces and organize a public event on the importance and the role of media in reporting human rights and womenâ€™s rights violations."
